"Dentrix Fee Schedule Export - Thursday, June 16, 2016 "
"Selected Fee Schedules: UCR"
Procedure Code,Abbrev Description,Description,UCR
D6790,RtCrnFCHn,"Retainer crn-full cast hi nob","1,200.00"
D6791,RtCrnFCBs,"Retainer crn-full cast base","900.00"
D6792,RtCrnFCNm,"Retainer crn-full cast nob met","1,200.00"
D7120,ExtEchAdd,"Extraction-each additional","150.00"
D7210,ExtSrErTh,"Extraction-surgical/erupt tooth","350.00"
D7220,ExtImpSfT,"Extraction-impacted/soft tis","450.00"
D7230,ExtImpPtB,"Extraction-impacted/part bony","550.00"
D7240,ExtImpCmB,"Extraction-impacted/compl bony","750.00"
D2330,Resin1,"Resin-one surface, anterior","165.00"
D2331,Resin2,"Resin-two surfaces, anterior","185.00"
D2332,Resin3,"Resin-three surfaces, anterior","225.00"
D2335,Res4/inAn,"Resin-4+ w/incis angle-anterior","350.00"
D2410,GoldFoil1,"Gold foil-one surface","0.00"
D2420,GoldFoil2,"Gold foil-two surfaces","0.00"
D2430,GoldFoil3,"Gold foil-three surfaces","0.00"
D2510,InlayMet1,"Inlay-metallic-one surface","750.00"
D2520,InlayMet2,"Inlay-metallic-two surfaces","850.00"
D2530,InlayMet3,"Inlay-metallic-three + surfaces","950.00"
D2543,OnlayMet3,"Onlay-metallic-three surfaces","950.00"
D2610,InPorc/C1,"Inlay-porcel/ceramic-1 surface","1,200.00"
D2620,InPorc/C2,"Inlay-porcel/ceramic-2 surface","1,200.00"
D2630,InPorc/C3,"Inlay-porcel/ceramic-3+ surface","1,200.00"
D3351,ApxRclIni,"Apexification/recalcif, initial","0.00"
D2910,RecmtInly,"Recement inlay/onlay/partial","85.00"
D2920,RecmtCrwn,"Recement crown","85.00"
D2930,PrFbSSCPr,"Prefab stain steel crn-primary","350.00"
D2931,PrFbSSCPe,"Prefab stain steel crown-perm","550.00"
D2932,PrFbRsCrn,"Prefabricated resin crown","550.00"
D2940,SedFill,"Sedative filling","0.00"
D2950,CrnBldPin,"Crown buildup, includ any pins","250.00"
D2951,PnRetTth+,"Pin retention-/tooth, (+ rest)","50.00"
D2952,CstPst&Cr,"Cast post &core in add to crown","450.00"
D2954,PrFbPt&Cr,"Prefab post&core in add to crn","350.00"
D2960,LabVnLmCs,"Labial veneer(laminate)-chairsd","650.00"
D2970,TempCrwn,"Temporary crown (fractured th)","150.00"
D2980,CrwnRepr,"Crown repair, by report","0.00"
D2999,UnspResPr,"Unspecif restorative proced B/R","0.00"
D3110,PlpCpDir,"Pulp cap-direct, (+rest)","95.00"
D3120,PlpCpIndr,"Pulp cap-indirect, (+ rest)","95.00"
D3220,TherPlpty,"Therapeutic pulpotomy(exc rest)","120.00"
D3410,ApctPrSrA,"Apicoectomy/Periradic surg-ant","0.00"
D3421,ApctPrBi1,"Apicoect/Perirad-bicus/1st root","0.00"
D3430,RetroFill,"Retrograde filling-per root","0.00"
D3450,RtAmpPrRt,"Root amputation-per root","550.00"
D3460,EndoEdsIm,"Endodontic endosseous implant","0.00"
D3910,SrIslw/RD,"Surg isolation of th w/rub dam","0.00"
D3920,HemiNRtCn,"Hemisection, no root can ther","0.00"
D3950,CnPrpDwPs,"Canal prep/fit of dowel/post","0.00"
D3960,BlchTh,"Bleaching of discolored tooth","350.00"
D3999,UnspEdoPr,"Unspecified endo procedure, B/R","0.00"
D4210,GingctQdr,"Gingivectomy-4+ per quadrant","350.00"
D4211,GingctTh,"Gingivectomy-1-3 contig th/quad","95.00"
D4220,GinCurSrQ,"Gingiv curettage,surgical /quad","0.00"
D4240,GnFlInRtP,"Ging flap,root pln, 4+ per quad","800.00"
D4260,OssSurQ,"Osseous surgery-4+ per quad","0.00"
D4263,BnRpGr1st,"Bone replace graft-1st site/qu","600.00"
D4264,BnRpGrEa+,"Bone replace graft-each add/qu","300.00"
D4270,PedsfTsGr,"Pedicle soft tissue graft proc","0.00"
D4271,FrSfTsGr,"Free soft tissue graft proced","0.00"
D4320,ProvSplIn,"Provisional splinting-intracor","0.00"
D4321,ProvSplEx,"Provisional splinting-extracor","0.00"
D4355,FullDebrd,"Full mouth debridemnt,eval/diag","120.00"
D4341,PrSclRtPl,"Perio scale&root pln-4+per quad","225.00"
D4910,PerMaint,"Periodontal maintenance","120.00"
D4920,UnscDrChg,"Unscheduled dressing change","0.00"
D4999,UnspcPerP,"Unspecified perio proced, B/R","0.00"
D5281,RmvUniPDn,"Removable unilat part denture","0.00"
D5410,AdjCmDnUp,"Adjust complete denture-maxil","150.00"
D5411,AdjCmDnLw,"Adjust complete denture-mand","150.00"
D5421,AdjPrDnUp,"Adjust partial denture-maxil","150.00"
D5422,AdjPrDnLw,"Adjust partial denture-mand","150.00"
D5510,RprCmDnBs,"Repair complete denture base","450.00"
D5520,RplThCmDn,"Replace teeth-comp dent (ea th)","150.00"
D5610,RprRsSdBs,"Repair resin denture base","350.00"
D5620,RprCstFrm,"Repair cast framework","350.00"
D5630,RepClsp,"Repair or replace broken clasp","150.00"
D5640,RepBrkTh,"Replace broken teeth-per tooth","150.00"
D5650,AddThExDn,"Add tooth to exist part denture","150.00"
D5660,AddClsp,"Add clasp, exist part denture","250.00"
D5710,RebsCUpDn,"Rebase complete maxil denture","550.00"
D5711,RebsCLwDn,"Rebase complete mand denture","550.00"
D5720,RebsUPPDn,"Rebase maxil partial denture","550.00"
D5721,RebsLwPDn,"Rebase mand partial denture","550.00"
D5730,RlnCmUpCh,"Reline complete maxil-chairside","400.00"
D5731,RlnCmLwCh,"Reline complete mand-chairside","400.00"
D5740,RlnUpPrCh,"Reline maxil partial-chairside","500.00"
D5741,RlnLwPrCh,"Reline mand partial-chairside","500.00"
D5750,RlnCmUpLb,"Reline complete maxillary (lab)","500.00"
D5751,RlnCmLwLb,"Reline complete mand (lab)","500.00"
D5760,RlnUpPrLb,"Reline maxillary partial (lab)","500.00"
D5761,RlnLwPrLb,"Reline mandibular partial (lab)","500.00"
D8690,OrthTrtBl,"Ortho treatment (bill/contract)","0.00"
D8010,LimitPrim,"Limited ortho trt, primary dent","0.00"
D8210,RmAppTh,"Removable appliance therapy","0.00"
D8220,FxAppTh,"Fixed appliance therapy","0.00"
D8050,IntcPrim,"Intercep orth trt, primary dent","0.00"
D8060,IntcTrans,"Intercep orth trt, transitional","0.00"
D8020,LimitTran,"Limited ortho trt, transitional","0.00"
D8030,LimitAdol,"Limited ortho treat, adolescent","0.00"
D8040,LimitAdlt,"Limited ortho treat, adult dent","0.00"
D8070,CompTrans,"Comprehensive orth,transitional","0.00"
D8080,CompAdol,"Comprehensive ortho, adolescent","5,500.00"
D8090,CompAdult,"Comprehensive ortho, adult dent","5,500.00"
D8680,OrthRetn,"Orthodontic retention","395.00"
D8670,PstTrtStb,"Periodic ortho visit (contract)","0.00"
D8999,UnspcOrth,"Unspec ortho procedure, B/R","0.00"
D9211,RegBlkAns,"Regional block anesthesia","0.00"
D9210,LoclAnsNO,"Local anesthesia not op/surg","0.00"
D9110,EmergEx,"Emerg treatment, palliative","250.00"
D9212,TriDvBlAn,"Trigeminal division blk anesth","0.00"
D9220,GnAns30mn,"Deep sedat/gen anesth-1st 30m","0.00"
D9230,AnlgNitOx,"Analgesia","0.00"
D9240,IntrvnSed,"Intravenous sedation","0.00"
D9310,Consult,"Consultation-per session","95.00"
D9410,ProfHsCal,"House/extended care facility","0.00"
D9420,ProfHosCl,"Professional hospital call","0.00"
D9430,OffVisRgH,"Office visit for observation","0.00"
D9440,OffVisAfH,"Office visit-after regular hrs","0.00"
D9610,ThrDrgInj,"Therapeutic drug injection, B/R","0.00"
D9630,OthDrgMed,"Other drugs/medicaments, B/R","0.00"
D9910,ApDesnMed,"Application of desensitize med","120.00"
D9920,BehavMang,"Behavior management, by report","0.00"
D9930,TrtPstOpC,"Treat complications-postsurgic","0.00"
D9940,OcclGuard,"Occlusal guards, by report","350.00"
D9941,FabAthMgd,"Fabricate athletic mouthguards","0.00"
D9950,OcclanlMC,"Occlusal analysis-mounted case","0.00"
D9951,OcclAdjLm,"Occlusal adjustment-limited","150.00"
D9952,OcclAdjCm,"Occlusal adjustment-complete","350.00"
D9999,UnspcAdjP,"In Office Bleaching","150.00"
D5810,IntCmDnUp,"Interim comp denture (maxil)","0.00"
D5811,IntCmDnLw,"Interim comp denture (mand)","0.00"
D5820,IntPrDnUp,"Interim partial denture (maxil)","0.00"
D5821,IntPrDnLw,"Interim partial denture (mand)","750.00"
D5850,TisConUp,"Tissue condition, maxillary","0.00"
D5860,OvrDenCom,"Overdenture-complete, B/R","0.00"
D5861,OvrDenPar,"Overdenture-partial, by report","0.00"
D5862,PrecnAtt,"Precision attachment, B/R","250.00"
D5899,UnspcRmPr,"Unspecified remove prosth, B/R","0.00"
D5911,FacMoulSc,"Facial moulage (sectional)","0.00"
D5912,FacMoulCm,"Facial moulage (complete)","0.00"
D5913,NasProsth,"Nasal prosthesis","0.00"
D5914,AurProsth,"Auricular prosthesis","0.00"
D5915,OrbProsth,"Orbital prosthesis","0.00"
D5916,OcuProsth,"Ocular prosthesis","0.00"
D5919,FacProsth,"Facial prosthesis","0.00"
D5932,ObtProDef,"Obturator prosthesis,definitive","0.00"
D5931,ObtProSur,"Obturator prosthesis, surgical","0.00"
D5933,ObtProMod,"Obturator prosthesis, modificat","0.00"
D5934,ManResFla,"Mandibular resection w/ flange","0.00"
D5935,ManRes,"Mandibular resection w/o flange","0.00"
D5951,FeedAid,"Feeding aid","0.00"
D5952,SpchAidPd,"Speech aid prosthesis,pediatric","0.00"
D5953,SpchAidAd,"Speech aid prosthesis, adult","0.00"
D5954,PalAugPro,"Palatal augmentation prosthesis","0.00"
D5955,PlLftPrDf,"Palatal lift prosth, definitive","0.00"
D5982,SurgStent,"Surgical stent","0.00"
D5983,RadtnCarr,"Radiation carrier","0.00"
D5984,RadtnShld,"Radiation shield","0.00"
D5985,RadtnCnLc,"Radiation cone locator","0.00"
D5986,FlrGelCar,"Fluoride gel carrier","0.00"
D5999,UnspcMxPr,"Unspec maxillofacial prosth B/R","0.00"
D7810,OpRdDsloc,"Open reduction of dislocation","0.00"
D7820,ClRdDsloc,"Closed reduction of dislocate","0.00"
D7830,ManipAnes,"Manipulation under anesthesia","0.00"
D7840,Cndylctmy,"Condylectomy","0.00"
D7860,Arthrtomy,"Arthrotomy","0.00"
D7870,Arthrcnts,"Arthrocentesis","0.00"
D7880,OclOrthDv,"Occlusal orthotic device","0.00"
D7710,MxlOpRd,"Maxilla-open reduction","0.00"
D7130,RtRemvExR,"Root removal-exposed root","150.00"
D7720,MxlClRd,"Maxilla-closed reduction","0.00"
D7730,ManOpRd,"Mandible-open reduction","0.00"
D7740,ManClRd,"Mandible-closed reduction","0.00"
D7750,MalZYArOR,"Malar/zygomatic arch-open red","0.00"
D7760,MalZyArCR,"Malar/zygomatic arch-close red","0.00"
D7770,AlvStbThO,"Alveolus-stabilize teeth, open","0.00"
D7780,FacBnCmpR,"Facial bones-complicated reduc","0.00"
D7910,SutSmWds,"Suture of small wounds to 5cm","0.00"
D7971,ExcPrcGnA,"Excision-pericoronal ging /arch","0.00"
D7980,Sialoltho,"Sialolithotomy","0.00"
D7981,ExcSalGld,"Excision of salivary gland, B/R","0.00"
D7982,Sialodoch,"Sialodochoplasty","0.00"
D7983,ClsrSalvF,"Closure of salivary fistula","0.00"
D7990,EmerTrach,"Emergency tracheotomy","0.00"
D7991,Cornoidct,"Coronoidectomy","0.00"
D7995,SnGrMndFc,"Synthetic graft-mand/facial,B/R","0.00"
D7996,ImplntOth,"Implant-mandib/augmentation,B/R","0.00"
D7999,UnspcOrSr,"Unspecified oral surg proc, B/R","0.00"
D7911,CompSut,"Complicated suture-up to 5 cm","0.00"
D7912,CompSut>5,"Complicated suture-over 5 cm","0.00"
D7970,ExcHypTsA,"Excision, hyperplast tiss-arch","0.00"
D7960,FrnlctmSP,"Frenulectomy-separate procedur","0.00"
D7950,OsCrtGrMn,"Osseous/cartilage graft-mandB/R","0.00"
D7955,RpMxfcSHT,"Rep maxillofacial sft/hrd tis","0.00"
D7920,SkinGraft,"Skin grafts, by report","0.00"
D7940,OstpOrtDf,"Osteoplasty-orthognathic defor","0.00"
D7941,OsteRamCl,"Osteotomy-mandibular rami","0.00"
D7942,OsteRamOp,"Osteotomy-ramus, open","0.00"
D7943,OstRmOpGr,"Osteotomy-mand rami w/ graft","0.00"
D7944,OstSgSbps,"Osteotomy-segment/subap-s/quad","0.00"
D7945,OstBdMand,"Osteotomy-body of mandible","0.00"
D7946,LeFrtIMxT,"LeFort I (maxilla-total)","0.00"
D7947,LeFrtIMxS,"LeFort I (maxilla-segmented)","0.00"
D7948,LeFrt2&3,"LeFort II/III-no bone graft","0.00"
D7949,LeFrt2&3B,"LeFort II/III-with bone graft","0.00"
D6930,RcmntPrtl,"Recement fixed partial denture","100.00"
D6940,StressBrk,"Stress breaker","450.00"
D6950,PrecAttac,"Precision attachment","450.00"
D6970,CstPtCr+B,"Cast post/core, + brdg retainer","450.00"
D6971,CstPtBrRt,"Cast post/part of brdg retainer","450.00"
D6972,PrfbPtC+B,"Prefab post/core+ brdg retainer","350.00"
D6980,BrdgRepr,"Fixed partial dent. repair, B/R","0.00"
D6999,UnspcFxPr,"Unspec fixed prosth proced, B/R","0.00"
D6520,InlyMt2Sr,"Inlay-metallic-two surfaces","0.00"
D6530,InlyMt3+S,"Inlay-metallic-three+ surfaces","0.00"
D6543,OnlayMt3s,"Onlay-metallic-three surfaces","0.00"
D6545,RetCast,"Retainer-cast for resin bonded","0.00"
D7241,RmvImpCmB,"Remov impact-comp bony w/ comp","0.00"
D7250,SrgRmRThR,"Surgic removl resid tooth root","450.00"
D7260,OrlAntFsC,"Oral antral fistula closure","0.00"
D7270,ReimpStab,"Reimplantation/stabilization","0.00"
D6920,ConectBar,"Connector bar","0.00"
D7272,ThTrnspln,"Tooth transplantation","0.00"
D7280,ExpImpUer,"Surgical access unreupted tooth","0.00"
D7281,ExpImpAdE,"Expos impact/unerupt-aid erupt","0.00"
D7285,BpsyOrTsH,"Biopsy of oral tissue-hard","350.00"
D7286,BpsyOrTsS,"Biopsy of oral tissue-soft","350.00"
D7290,SrgRepsTh,"Surgical reposition of teeth","0.00"
D7291,TnsptlFbr,"T/SC Fiberotomy, B/R","0.00"
D7310,AlvplsyEx,"Alveoloplasty w/ extract- /quad","350.00"
D7320,Alvplsty,"Alveoloplasty w/o extract /quad","450.00"
D7340,Vstbplsy2,"Vestibuloplasty-ridge ext -2nd","0.00"
D7350,VstplstyI,"Vestiplasty-ridge ext (inc)","0.00"
D7410,RadExDm<=,"Excision benign lesion<=1.25cm","0.00"
D7420,RadExDm>,"Radical excis-diam > 1.25 cm","0.00"
D7430,ExBnTmD<=,"Ex benign tumor-diam <= 1.25cm","0.00"
D7431,ExBnTmD>,"Ex benign tumor-diam > 1.25 cm","0.00"
D7440,ExMlTmD<=,"Ex malig tumor-diam <= 1.25 cm","0.00"
D7441,ExMlTmD>,"Ex malig tumor-diam > 1.25 cm","0.00"
D7450,RmOdCyD<=,"Rem benign odont-diam<=1.25cm","0.00"
D7451,RmOdCyD>,"Rem benign odont-diam>1.25 cm","0.00"
D7460,RmNodCD<=,"Rem benign nonodont-di<=1.25cm","0.00"
D7461,RmNodCD>,"Rem benign nonodont-diam>1.25cm","0.00"
D7465,DstrLsPhC,"Destruct lesion-phys/chem B/R","0.00"
D7470,RmExsMxMn,"Rem exostosis-maxilla/mandible","0.00"
D7480,PrtOstctm,"Part ostectomy(guttering/sauc)","0.00"
D7490,RdRsMnBng,"Rad resectn-maxilla or mandible","0.00"
D7510,Inc&DrAIn,"Incis&drain abscess-intra soft","0.00"
D7520,Inc&DrAEx,"Incis&drain abscess-extra soft","400.00"
D7530,RmFrBSbQT,"Remove foreign body from tissue","0.00"
D7540,RmFrBdBon,"Remove foreign body from bone","0.00"
D7550,SqstrOstm,"Partial ostect/sequestrectomy","0.00"
D7560,MxlSnstRm,"Maxill sinusotomy-rem foreign","0.00"
D7610,MxlOpRdIm,"Maxilla-open red (teeth immob)","0.00"
D7620,MxlClRdIm,"Maxilla-closed red(teeth immob)","0.00"
D7630,ManOpRdIm,"Mandible-open red (teeth immob)","0.00"
D7640,ManClRdIm,"Mandible-closed red (th immob)","0.00"
D7650,MlZyArOpR,"Malar/zygomat arch-open reduc","0.00"
D7660,MlZyArClR,"Malar/zygo arch-closed reduc","0.00"
D7670,AlvStabOp,"Alveolus-closed reduction","0.00"
D7680,FacBnCmRd,"Facial bone-complicated reduct","0.00"
D9221,GnAns+15m,"Deep sedat/gen anesth-ea+15m","0.00"
D9215,LoclAnes,"Local anesthesia","0.00"
D2962,LbVnPorLm,"Labial veneer (porceln lam)-lab","1,500.00"
D2961,LabVnRsLm,"Labial veneer (resin lamin)-lab","750.00"
D2393,Res3PosPm,"Resin-3 surface +, post-perm","325.00"
D2392,Res2PosPm,"Resin-2 surface, post-permanent","225.00"
D2391,Res1PosPm,"Resin-1 surface, post-permanent","165.00"
D2382,Res3PosPr,"Resin-3 surface, poster-primary","185.00"
D2381,Res2PosPr,"Resin-2 surface, poster-primary","165.00"
D2380,Res1PosPr,"Resin-1 surface, poster-primary","125.00"
D0140,LimitedEx,"Limited oral evaluation","55.00"
15010,PrimPerCh,"Primary - Permanent Change","0.00"
D7850,SurgDisc,"Surgical discect:w/ w/o implant","0.00"
D0322,Tomograph,"Tomographic survey","0.00"
D2336,CRCrwnAnP,"Compos resin crwn-anterior-prim","450.00"
D2642,OnPorc/2s,"Onlay-porcel/ceram-2 surface","1,200.00"
D2650,InComR1Lb,"Inlay-resin based composite-1s","650.00"
D2651,IncomR2Lb,"Inlay-resin based composite-2s","750.00"
D2652,InComR3Lb,"Inlay-resin based composite-3+s","850.00"
D2662,OnComR2s,"Onlay-resin based composite-2s","0.00"
D2933,PrFbSCRsW,"Prefab stl crown w/resin window","0.00"
D3346,Retrt-Ant,"Retreat, prev RCT - anterior","1,200.00"
D3347,Retrt-Bi,"Retreat, prev RCT - bicuspid","1,200.00"
D3348,Retrt-Mol,"Retreat, prev RCT - molar","1,500.00"
D3352,ApxRclInt,"Apexification/recalcif, interim","0.00"
D3353,ApxRclFin,"Apexification/recalcif, final","0.00"
D3425,ApctPrMo1,"Apicoect/Perirad-molar/1st root","0.00"
D3426,ApctPr+th,"Apicoect/Perirad (each + root)","0.00"
D3470,IntRplISp,"Intentional replant, inc splint","0.00"
D4249,CrnLngH&S,"Clinic crown lengthen-hard tiss","0.00"
D4250,MucGinSrQ,"Mucogingival surgery-per quad","0.00"
D4273,SubTisGr,"Subepithelial con tis graft/th","0.00"
D5851,TisConLw,"Tissue condition, mandibular","0.00"
D5922,NasSepPro,"Nasal septal prosthesis","0.00"
D5923,OcuProsIn,"Ocular prosthesis, interim","0.00"
D5924,CranPros,"Cranial prosthesis","0.00"
D5925,FacAugImp,"Facial augmentat implant,prosth","0.00"
D5926,NasProsRp,"Nasal prosthesis, replacement","0.00"
D5927,AurProRep,"Auricular prosthesis,replacemen","0.00"
D5928,OrbProRep,"Orbital prosthesis, replacement","0.00"
D5929,FacProRep,"Facial prosthesis, replacement","0.00"
D5936,ObtProInt,"Obturator prosthesis, interim","0.00"
D5937,TrisAppli,"Trismus appliance (not TMD)","0.00"
D5958,PlLftPrIn,"Palatal lift prosthesis,interim","0.00"
D5959,PlLftPrMd,"Palatal lift prosth, modificat","0.00"
D5960,SpchAdPrM,"Speech aid prosth, modification","0.00"
D5987,CommSplnt,"Commissure splint","0.00"
D5988,SurgSplnt,"Surgical splint","0.00"
D6020,AbutEnImp,"Abut place/subst:endost implant","0.00"
D6040,SurEpoImp,"Surgic place: eposteal implant","0.00"
D6050,TrnsImpln,"Surg place: transosteal implant","0.00"
D6055,ImpltCnBr,"Dent implant sup connecting bar","0.00"
D6080,ImpltMtPr,"Implant maintenance procedures","0.00"
D6090,ReprImplt,"Repair implant sup prosth, B/R","0.00"
D6100,ImpltRemv,"Implant removal, by report","0.00"
D6199,UnspcImpl,"Unspecified implant proced, B/R","0.00"
D6973,CrBldRtIP,"Core buildup for retain,inc pin","0.00"
D6975,CopngMetl,"Coping-metal","650.00"
D7852,DiscRepr,"Disc repair","0.00"
D7854,Synvctomy,"Synovectomy","0.00"
D7856,Myotomy,"Myotomy","0.00"
D7858,JointRecn,"Joint reconstruction","0.00"
D7865,Arthrplst,"Arthroplasty","0.00"
D7872,ArthrscpD,"Arthroscopy-diag, w/ w/o biopsy","0.00"
D7873,ArthrSrAd,"Arthroscopy-surgical: adhesions","0.00"
D7874,ArthrSDsR,"Arthroscopy-surgical: disc rep","0.00"
D7875,ArthrSSyn,"Arthroscopy-surgic: synovectomy","0.00"
D7876,ArthrSDsc,"Arthroscopy-surgical:discectomy","0.00"
D7877,ArthrSDbr,"Arthroscopy-surgic: debridement","0.00"
D7899,UnspcTMDT,"Unspecified TMD therapy, B/R","0.00"
D0310,Salio,"Saliography","0.00"
D0160,ExtEval,"Detail/extensive oral eval, B/R","95.00"
D1320,TobacCnsl,"Tobacco counseling","0.00"
D2544,OnlayMet4,"Onlay-metallic-four + surfaces","950.00"
D2643,OnPorc/3s,"Onlay-porcel/ceram-3 surface","1,200.00"
D2644,OnPorc/4+,"Onlay-porcel/ceram-4 + surface","1,200.00"
D2663,OnComR3s,"Onlay-resin based composite-3s","0.00"
D2664,OnComR4+,"Onlay-resin based composite-4+s","0.00"
D2955,PostRemov,"Post removal (not with endo)","0.00"
D3230,PulThA/Pr,"Pulpal therapy-anterior,primary","0.00"
D3240,PulThP/Pr,"Pulpal therapy-posterior, prim","0.00"
D4266,TissRgPer,"Guided tiss regen-resorb-per","0.00"
D4267,TissRgNr,"Guided tiss regen-nonresorb-per","0.00"
D4274,DistPxWg,"Distal/proximal wedge procedure","0.00"
D4381,,"Local deliv antimicrb ag-th B/R","0.00"
D6010,SrgImpEnd,"Surg place implant: endosteal","2,200.00"
