ADA Code,Dentist Description,Patient Friendly Description,Procedure Categories for Wizard setup for Dentists,Categories for patient price comparison (Phase 2)
D2810,Crown-3/4 cast metallic,Partial Metal Crown - Lab Processed,Crown/Onlay/Inlay,CROWNS/CAPS
D2910,Recement inlay/onlay/partial,Recement Restoration,Recement,
D2915,Recemnt cast or prefab pst/cor,Recement Post,Recement,
D2920,Recement crown,Recement Crown,Recement,
D2921,"Reattach Th Fragment, incisal",Reattach Tooth Fragment,,
D2929,Prefabricated porc/cerm cr-prim,Prefabricated Porcelain Crown - Baby Teeth,,
D2930,Prefab stain steel crn-primary,Prefabricated Stainless Steel Crown - Baby Teeth,Stainless Steel Crowns,CROWNS/CAPS
D2931,Prefab stain steel crown-perm,Prefabricated Stainless Steel Crown - Adult Teeth,Stainless Steel Crowns,CROWNS/CAPS
D2932,Prefabricated resin crown,Prefabricated Resin Crown,,
D2933,Prefab stl crown w/resin window,Prefabricated Stainless Steel Crown with Resin Window,Stainless Steel Crowns,CROWNS/CAPS
D2934,Prefb esth ctd stnl stl crn-prm,Prefabricated Stainless Steel Crown,Stainless Steel Crowns,CROWNS/CAPS
D2940,Sedative filling,Sedative Filling,,
D2941,Interim Therapeutic Rest - Prim,Temporary Restoration - Baby Teeth,,
D2949,Foundation for Indirect Rest,Liner for Indirect Restoration,,
D2950,"Crown buildup, includ any pins",Crown Build Up,Build Up/Post/Core,CROWNS/CAPS
D2951,"Pin retention-/tooth, (+ rest)",Retaining Pins For Large Fillings,Build Up/Post/Core,CROWNS/CAPS
D2952,Cast post &core in add to crown,Post and Core Lab Fabricated,Build Up/Post/Core,CROWNS/CAPS
D2953,Each add'l cast post-same tooth,Additional Post on the same tooth,Build Up/Post/Core,CROWNS/CAPS
D2954,Prefab post&core in add to crn,Prefabricated Post and Core,Build Up/Post/Core,CROWNS/CAPS
D2955,Post removal (not with endo),Post Removal,,
D2957,Each + prefab post-same tooth,Additional Prefabricated Post and Core on the same tooth,Build Up/Post/Core,CROWNS/CAPS
D2960,Labial veneer(laminate)-chairsd,Veneers,Veneers,VENEERS
D2961,Labial veneer (resin lamin)-lab,Resin Veneers,Veneers,VENEERS
D2962,Labial veneer (porceln lam)-lab,Porcelain Veneers,Veneers,VENEERS
D2970,Temporary crown (fractured th),Temporary Crown,,
D2971,Add'l prc-new crn undr exs dent,New Crown under Existing Partial Dentures,,
D2975,Coping,Crown Coping,,
D2980,"Crown repair, by report",Crown Repair,Restoration Repair,
D2981,Inlay repair by material failur,Inlay Repair,Restoration Repair,
D2982,Onlay repair by material failur,Onlay Repair,Restoration Repair,
D2983,Veneer repair by mat. failure,Veneer Repair,Restoration Repair,
D2990,Final Imp,Final Impression,,
D2999,Unspecif restorative proced B/R,Other Restorative Procedures,,
ENDODONTICS,ENDODONTICS,ENDODONTICS,,
D3110,"Pulp cap-direct, (+rest)",Protective Material to Insulate Nerve,Build Up/Post/Core,FILLING
D3120,"Pulp cap-indirect, (+ rest)",Protective Material to Insulate Nerve,Build Up/Post/Core,FILLING
D3220,Therapeutic pulpotomy(exc rest),Removal of a portion of the main nerve to relieve pain,Root Canal,ROOT CANALS
D3221,Pulpal debridemnt-prim/perm th,Initial Procedure for relief of acute pain,Root Canal,ROOT CANALS
D3222,Partial pulpototomy apexogen,Partial Pulpotomy for Root Formation,Root Canal,ROOT CANALS
D3230,"Pulpal therapy-anterior,primary",Removal of a portion of the main nerve to relieve pain - Front Baby Teeth,Root Canal,ROOT CANALS
D3240,"Pulpal therapy-posterior, prim",Removal of a portion of the main nerve to relieve pain - Back Baby Teeth,Root Canal,ROOT CANALS
D3310,Root canal therapy - anterior,Root Canal - Front Tooth,Root Canal,ROOT CANALS
D3320,Root canal therapy - bicuspid,Root Canal - Premolar Tooth,Root Canal,ROOT CANALS
D3330,Root canal therapy - molar,Root Canal - Molar,Root Canal,ROOT CANALS
D3331,Treatmnt of root canal obstruct,Treatment of canal obstruction,Root Canal,ROOT CANALS
D3332,Incomplt endo ther-inopbl/unres,Incomplete root canal due to condition of the tooth,Root Canal,
D3333,Int root repair of perf defects,Internal Root Repair,Root Canal,
D3346,"Retreat, prev RCT - anterior",Root Canal Retreatment - Front Tooth,Root Canal,ROOT CANALS
D3347,"Retreat, prev RCT - bicuspid",Root Canal Retreatment - Premolar Tooth,Root Canal,ROOT CANALS
D3348,"Retreat, prev RCT - molar",Root Canal Retreatment - Molar,Root Canal,ROOT CANALS
D3351,"Apexification/recalcif, initial",Stimulation of Root Closure,Root Canal,ROOT CANALS
D3352,"Apexification/recalcif, interim",Stimulation of Root Closure,Root Canal,ROOT CANALS
D3353,"Apexification/recalcif, final",Stimulation of Root Closure,Root Canal,ROOT CANALS
D3354,Pulpal Regeneration,Treatment to heal pulp tissue,,
D3355,Pulpal Regeneration - 1st visit,Treatment to heal pulp tissue,,
D3356,Pulpal Rgn - interim med Replc,Treatment to heal pulp tissue,,
D3357,Pulpal Regen - completion,Treatment to heal pulp tissue,,
D3410,Apicoectomy/Periradic surg-ant,Root tip surgery- front tooth,Root Tip Surgery,ROOT CANALS
D3421,Apicoect/Perirad-bicus/1st root,Root tip surgery - 1st bicuspid root,Root Tip Surgery,ROOT CANALS
D3425,Apicoect/Perirad-molar/1st root,Root tip surgery - 1st molar root,Root Tip Surgery,ROOT CANALS
D3426,Apicoect/Perirad (each + root),Root tip surgery - any additional root,Root Tip Surgery,ROOT CANALS
D3427,Periradicular surg-no apicoect,Root Surgery with no Amputation,,ROOT CANALS
D3428,Bone Graft w/Perirdc Srg 1 Site,Root Bone Graft,,
D3429,Bn Graft w/Perirdc Srg each add,Root Bone Graft Additional site,,
D3430,Retrograde filling-per root,Root Tip Filling,Root Tip Surgery,ROOT CANALS
D3431,Bio Mtrl to aid Reg w/Prdc Srg,Biomaterial for Hard/Soft Tissue Regeneration,,
D3432,Guided TissRgn PerSite w/PrdSrg,Resorbable Barrier for Hard/Soft Tissue Regeneration,,
D3450,Root amputation-per root,Root Amputation,,
D3460,Endodontic endosseous implant,Implant placement from root canal into bone,,
D3470,"Intentional replant, inc splint",Removal and Replantation of a tooth ,,
D3910,Surg isolation of th w/rub dam,Tooth Isolation with barrier,,
D3920,"Hemisection, no root can ther",Root Amputation,,
D3950,Canal prep/fit of dowel/post,Canal Preparation For Post ,Root Canal,ROOT CANALS
D3960,Bleaching of discolored tooth,Internal Bleaching,,
D3999,"Unspecified endo procedure, B/R",Other Endo Procedure,,
PERIODONTICS,PERIODONTICS,PERIODONTICS,,
D4210,Gingivectomy-4+ per quadrant,Gum tissue removal - 4+ teeth per quadrant,Gum Surgery,GUM SURGERY
D4211,Gingivectomy-1-3 contig th/quad,Gum tissue removal - 1-3 teeth per quadrant,Gum Surgery,GUM SURGERY
D4212,Gingivectomy-Access/Restoration,Gum Tissue Removal for a restoration,Gum Surgery,
D4220,"Gingiv curettage,surgical /quad",Removal of inflamed soft tissue at root surface,Gum Surgery,GUM SURGERY
D4230,"Anatomical crwn exp,4+teeth/qu",Removal of enlarged gingival tissue and supporting bone of four or more teeth,Gum Surgery,
D4231,"Anatomical crwn exp,1-3 th/quad",Removal of enlarged gingival tissue and supporting bone of one to three adjacent teeth,Gum Surgery,
D4240,"Ging flap,root pln, 4+ per quad",Incision in gums to clean 4 or more teeth in a quadrant,Gum Surgery,GUM SURGERY
D4241,Ging flap rt pln 1-3 cntg th/qu,Incision in gums to clean 1-3 teeth in a quadrant,Gum Surgery,GUM SURGERY
D4245,Apically positioned flap,Repositioning of gum tissue,Gum Surgery,GUM SURGERY
D4249,Clinic crown lengthen-hard tiss,Bone removal to provide more tooth structure for crown,Gum Surgery,GUM SURGERY
D4250,Mucogingival surgery-per quad,Gum Surgery,Gum Surgery,GUM SURGERY
D4260,Osseous surgery-4+ per quad,Bone Reshaping,,GUM SURGERY
D4261,Osseous surg- 1-3 contg th/quad,Bone Reshaping,,GUM SURGERY
D4263,Bone replace graft-1st site/qu,Bone placement in 1 site in a quad,Bone Graft,GUM SURGERY
D4264,Bone replace graft-each add/qu,Bone placement in each additional site in a quad,Bone Graft,GUM SURGERY
D4265,"Bio mat, sft&osseous tiss regen",Biomaterial for Hard/Soft Tissue Regeneration,Bone Graft,
D4266,Guided tiss regen-resorb-per,Placement of resorbable membrane over surgical site,Bone Graft,GUM SURGERY
D4267,Guided tiss regen-nonresorb-per,Placement of nonresorbable membrane over surgical site,Bone Graft,GUM SURGERY
D4268,"Surg revision proc, per tooth",Follow-up surgery to refine the results of a previous surgery involving gum tissue,Gum Surgery,
D4270,Pedicle soft tissue graft proc,Raising gum tissue and moving it over an exposed root or a gum tissue defect in another area,Gum Surgery,
D4271,Free soft tissue graft proced,Graft soft tissue to replace gum tissue in another area,Gum Surgery,GUM SURGERY
D4273,Subepithelial con tis graft/th,Graft soft tissue over gum tissue in an area that needs more coverage,Gum Surgery,GUM SURGERY
D4274,Distal/proximal wedge procedure,Gum Reduction Surgery,Gum Surgery,GUM SURGERY
D4275,Soft tissue allograft,Gum graft,Gum Surgery,GUM SURGERY
D4276,Comb cnct tiss&dbl pedicle grft,Combined tissue grafting procedures to correct gum recession,Gum Surgery,GUM SURGERY
D4277,"Soft Tissue Graft, 1st Tooth",Soft tissue graft first tooth,Gum Surgery,GUM SURGERY
D4278,"Soft Tissue Graft, Each Add'l",Soft tissue graft additional tooth,Gum Surgery,GUM SURGERY
D4320,Provisional splinting-intracor,Temporary stabilization of moving teeth,,
D4321,Provisional splinting-extracor,Temporary stabilization of moving teeth,,
D4341,Perio scale&root pln-4+per quad,Deep cleaning to remove tartar below gum line on 4+ teeth in a quad,Deep Cleaning,CLEANING
D4342,"Perio scale&root pln-1-3th,quad",Deep cleaning to remove tartar below gum line on 1-3 teeth in a quad,Deep Cleaning,CLEANING
D4355,"Full mouth debridemnt,eval/diag",Cleaning and removal of plaque from all teeth to allow for a comprehensive dental exam,Cleaning,CLEANING
D4381,Local deliv antimicrb ag-th B/R,Direct placement of antibiotic medications into gums being treated for gum disease,Antimicrobial Gum Therapy,CLEANING
D4910,Periodontal maintenance,Routine cleaning below gum line,Cleaning,CLEANING
D4920,Unscheduled dressing change,Dressing change after gum surgery,,
D4921,Gingival Irrigation–Per Quad,Antimicrobial Irrigation of Gum Tissue,Antimicrobial Gum Therapy,CLEANING
D4999,"Unspecified perio proced, B/R",Other periodontal procedure,,
REMOVABLE PROSTHODONTICS,REMOVABLE PROSTHODONTICS,REMOVABLE PROSTHODONTICS,,
D5110,Complete denture - maxillary,Complete dentures upper jaw,Complete Dentures,REMOVABLE APPLIANCES
D5120,Complete denture - mandibular,Complete dentures lower jaw,Complete Dentures,REMOVABLE APPLIANCES
D5130,Immediate denture - maxillary,Temporary dentures upper jaw,Complete Dentures,REMOVABLE APPLIANCES
D5140,Immediate denture - mandibular,Temporary dentures lower jaw,Complete Dentures,REMOVABLE APPLIANCES
D5211,Maxillary partial - resin base,Partial resin denture upper jaw,Partial Dentures,REMOVABLE APPLIANCES
D5212,Mandibular partial - resin base,Partial resin denture lower jaw,Partial Dentures,REMOVABLE APPLIANCES
D5213,Maxil partial-metal Base W/sdls,Partial resin/metal denture upper jaw,Partial Dentures,REMOVABLE APPLIANCES
D5214,Mand partial-metal base w/sdls,Partial resin/metal  denture lower jaw,Partial Dentures,REMOVABLE APPLIANCES
D5225,Maxil partial-flex base incl cl,Flexible base partial dentures to replace some of the upper teeth,Partial Dentures,REMOVABLE APPLIANCES
D5226,Mand partial-flex base incl cl,Flexible base partial dentures to replace some of the lower teeth,Partial Dentures,REMOVABLE APPLIANCES
D5281,Removable unilat part denture,Partial dentures to replace some of the teeth on one side of the mouth,Partial Dentures,REMOVABLE APPLIANCES
D5410,Adjust complete denture-maxil,Adjustment of upper denture,Denture Repair/Rebase,
D5411,Adjust complete denture-mand,Adjustment of lower denture,Denture Repair/Rebase,
D5421,Adjust partial denture-maxil,Adjustment of upper partial,Denture Repair/Rebase,
D5422,Adjust partial denture-mand,Adjustment of lower partial,Denture Repair/Rebase,
D5510,Repair complete denture base,Denture repair,Denture Repair/Rebase,
D5520,Replace teeth-comp dent (ea th),Replacement of lost/broken teeth in denture,Denture Repair/Rebase,
D5610,Repair resin denture base,Repair a broken resin partial denture base,Denture Repair/Rebase,
D5620,Repair cast framework,Repair cast metal framework of a partial denture,Denture Repair/Rebase,
D5630,Repair or replace broken clasp,Repair or replace a broken clasp of a partial denture,Denture Repair/Rebase,
D5640,Replace broken teeth-per tooth,Replace a broken tooth for a partial denture,Denture Repair/Rebase,
D5650,Add tooth to exist part denture,Add tooth to existing partial,Denture Repair/Rebase,
D5660,"Add clasp, exist part denture",Add clasp to existing partial,Denture Repair/Rebase,
D5670,Replace all th&acrylic-maxil,Replacement of all teeth/acrylic in upper denture/partial,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5671,Replace all th&acrylic-mand,Replacement of all teeth/acrylic in lower denture/partial,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5710,Rebase complete maxil denture,Refit a complete upper denture by replacing the base material,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5711,Rebase complete mand denture,Refit a complete lower denture by replacing the base material,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5720,Rebase maxil partial denture,Refit a partial upper denture by replacing the base material,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5721,Rebase mand partial denture,Refit partial lower denture by replaceing base material,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5730,Reline complete maxil-chairside,Resurface the tissue side of a complete upper denture in the office,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5731,Reline complete mand-chairside,Resurface the tissue side of a complete lower denture in the office,Denture Repair/Rebase,REMOVABLE APPLIANCES
